"ID","Species","ExperimentNo","Scenario","Treatment","Exposure.1","Exposure.2","endpoint.date","endpoint.code","Bd.endpoint.status","Bd.endpoint.CTmean","Bd.endpoint.Qmean","Rv.MCPendpoint.status","Rv.MCPendpoint.CTmean","Rv.MCPendpoint.Qmean","Rv.EBF3Nendpoint.status","Rv.EBF3Nendpoint.CTmean","Rv.EBF3Nendpoint.Qmean","EMA.YN","EMA.date","EMA.GE.EMA","EMA.GE.WS","Bd.endpoint.GE","viable.GE","dead.GE","Rv.endpoint.load"
"B2.7","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",1,32.2609787,5.908554554,0,0,0,0,NA,NA,0,NA,NA,NA,59.08554554,NA,NA,NA
"B2.8","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",1,31.84086609,7.625452042,0,0,0,0,NA,NA,0,NA,NA,NA,76.25452042,NA,NA,NA
"B2.9","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",1,32.85445404,4.117028236,0,0,0,0,NA,NA,1,"20/02/2019",0,0.002760737,41.17028236,0,0.002760737,NA
"B2.10","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",1,42.28231049,0.013702871,0,0,0,0,NA,NA,1,"20/02/2019",0,0.003637866,0.13702871,0,0.003637866,NA
"B2.11","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",1,33.84779358,2.249049425,1,32.41133881,14020.06738,1,30.44924355,2155.673828,0,NA,NA,NA,22.49049425,NA,NA,13.0075962308339
"B2.12","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",1,32.06240463,6.674394608,0,0,0,0,NA,NA,0,NA,NA,NA,66.74394608,NA,NA,NA
"B2.13","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",0,NA,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"B2.14","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",1,30.4270134,18.04304886,0,0,0,0,NA,NA,0,NA,NA,NA,180.4304886,NA,NA,NA
"B2.15","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",1,31.64418602,8.617416382,1,49.65985489,1.448047638,1,29.16986084,4684.683594,0,NA,NA,NA,86.17416382,NA,NA,0.000618205097076189
"B2.16","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",0,NA,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"B2.17","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",0,NA,NA,0,0,0,0,NA,NA,1,"20/02/2019",0.022550307,0.060887881,NA,0.022550307,0.038337574,NA
"B2.18","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",0,NA,NA,0,0,0,0,NA,NA,1,"20/02/2019",0,2.83982e-05,NA,0,2.83982e-05,NA
"B2.19","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",0,NA,NA,0,0,0,0,NA,NA,1,"20/02/2019",0,0,NA,0,0,NA
"B2.20","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",0,NA,NA,0,0,0,0,NA,NA,1,"20/02/2019",1.81951e-05,0,NA,1.81951e-05,-1.81951e-05,NA
"C2.1","Bb","2","Single","Rv ","bdsham","rv","04/07/2018","EU",0,0,0,0,0,0,0,NA,NA,NA,"",NA,NA,0,NA,NA,NA
"C2.2","Bb","2","Single","Rv ","bdsham","rv","04/07/2018","EU",0,0,0,1,42.33534622,6.300626755,0,NA,2592.907,NA,"",NA,NA,0,NA,NA,0.00485989413041038
"C2.3","Bb","2","Single","Rv ","bdsham","rv","04/07/2018","EU",0,0,0,0,0,0,0,NA,NA,NA,"",NA,NA,0,NA,NA,NA
"C2.4","Bb","2","Single","Rv ","bdsham","rv","04/07/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"C2.5","Bb","2","Single","Rv ","bdsham","rv","04/07/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"C2.6","Bb","2","Single","Rv ","bdsham","rv","04/07/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"C2.7","Bb","2","Single","Rv ","bdsham","rv","04/07/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"C2.8","Bb","2","Single","Rv ","bdsham","rv","04/07/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"C2.9","Bb","2","Single","Rv ","bdsham","rv","04/07/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"C2.10","Bb","2","Single","Rv ","bdsham","rv","04/07/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"C2.11","Bb","2","Single","Rv ","bdsham","rv","04/07/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"C2.12","Bb","2","Single","Rv ","bdsham","rv","04/07/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"C2.13","Bb","2","Single","Rv ","bdsham","rv","04/07/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"C2.14","Bb","2","Single","Rv ","bdsham","rv","04/07/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"C2.15","Bb","2","Single","Rv ","bdsham","rv","04/07/2018","EU",0,0,0,0,0,0,0,NA,NA,NA,"",NA,NA,0,NA,NA,NA
"C2.16","Bb","2","Single","Rv ","bdsham","rv","04/07/2018","EU",0,0,0,0,0,0,0,NA,NA,NA,"",NA,NA,0,NA,NA,NA
