ID,Species,ExperimentNo,Scenario,Treatment,Exposure.1,Exposure.2,endpoint.date,endpoint.code,Bd.endpoint.status,Bd.endpoint.CTmean,Bd.endpoint.Qmean,Rv.MCPendpoint.status,Rv.MCPendpoint.CTmean,Rv.MCPendpoint.Qmean,Rv.EBF3Nendpoint.status,Rv.EBF3Nendpoint.CTmean,Rv.EBF3Nendpoint.Qmean,EMA.YN,EMA.date,EMA.GE.EMA,EMA.GE.WS
D2.5,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,30.4681263,14.791,NA,NA,NA,NA,NA,NA,1,21/02/2019,0,0.035441443
D2.6,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,29.51923561,26.413,NA,NA,NA,NA,NA,NA,1,21/02/2019,0.417108715,0.066222809
D2.7,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,29.75766754,22.92,NA,NA,NA,NA,NA,NA,1,21/02/2019,0.004121628,2.536823988
D2.8,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,31.53027344,7.7732,NA,NA,NA,NA,NA,NA,1,21/02/2019,0.072177887,0.012744697
D2.9,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,34.28339767,1.466,NA,NA,NA,NA,NA,NA,1,21/02/2019,0,0.121220142
D2.10,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,32.60671997,4.022,NA,NA,NA,NA,NA,NA,1,21/02/2019,0.000188925,0.009294905
D2.11,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,32.34477234,4.712,NA,NA,NA,NA,NA,NA,1,21/02/2019,0.000881771,0.010204105
D2.12,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,34.50271606,1.27,NA,NA,NA,NA,NA,NA,1,21/02/2019,0.004290156,2.925529242
D2.13,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,31.93505478,6.039,NA,NA,NA,NA,NA,NA,1,21/02/2019,0.033958107,0.004056385
D2.14,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,31.34777069,8.644,NA,NA,NA,NA,NA,NA,1,21/02/2019,0.028486691,0.047734946
D2.15,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,31.86625671,6.301,NA,NA,NA,NA,NA,NA,1,21/02/2019,0.063855328,0.04324542
D2.16,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,29.47919083,27.067,NA,NA,NA,NA,NA,NA,1,21/02/2019,0.007621838,0.082335085
D2.17,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,29.65997314,24.231,NA,NA,NA,NA,NA,NA,1,21/02/2019,0.00241758,0.105444297
D2.18,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,32.94144058,3.266,NA,NA,NA,NA,NA,NA,1,21/02/2019,0,0.007687551
D2.19,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,34.33166504,1.397,NA,NA,NA,NA,NA,NA,1,21/02/2019,0,0.020645238
D2.20,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,29.00299263,36.2,NA,NA,NA,NA,NA,NA,1,21/02/2019,0,0
Q1,Rt,3,Coinfection,Rv-Bd,rv,bd,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,1,05/07/2018,NA,NA
Q2,Rt,3,Coinfection,Rv-Bd,rv,bd,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,1,05/07/2018,NA,NA
Q3,Rt,3,Coinfection,Rv-Bd,rv,bd,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,0,NA,NA,NA
Q4,Rt,3,Coinfection,Rv-Bd,rv,bd,10/07/2018,EU,Positive,36.04288483,1.178874731,Negative ,0,0,NA,NA,NA,1,05/07/2018,0,0
Q5,Rt,3,Coinfection,Rv-Bd,rv,bd,10/07/2018,EU,Positive,41.22333908,0.061203457,Negative ,0,0,NA,NA,NA,1,05/07/2018,NA,NA
Q6,Rt,3,Coinfection,Rv-Bd,rv,bd,28/06/2018,MORT,Positive,42.13223267,0.017164895,Positive ,22.32133293,2991213,Positive ,27.71177673,11383.0957,0,NA,NA,NA
Q7,Rt,3,Coinfection,Rv-Bd,rv,bd,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,1,05/07/2018,NA,NA
Q8,Rt,3,Coinfection,Rv-Bd,rv,bd,10/07/2018,EU,Positive,38.62661743,0.267119944,Negative ,0,0,NA,NA,NA,1,05/07/2018,0,0.005233554
Q9,Rt,3,Coinfection,Rv-Bd,rv,bd,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,1,05/07/2018,NA,NA
Q10,Rt,3,Coinfection,Rv-Bd,rv,bd,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,1,05/07/2018,NA,NA
Q11,Rt,3,Coinfection,Rv-Bd,rv,bd,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,0,NA,NA,NA
Q12,Rt,3,Coinfection,Rv-Bd,rv,bd,01/07/2018,MORT,Negative ,0,0,Negative ,0,0,NA,NA,NA,0,NA,NA,NA
Q13,Rt,3,Coinfection,Rv-Bd,rv,bd,01/07/2018,,Positive,40.53260803,0.046291914,Positive ,36.05961609,2170.984619,Positive ,39.09767914,11.29615211,0,NA,NA,NA
Q14,Rt,3,Coinfection,Rv-Bd,rv,bd,10/07/2018,EU,Positive,41.97417,0.009432436,Negative ,0,0,NA,NA,NA,0,NA,NA,NA
